size,distance_from_center,rooms,price
136,1.43364,4,630888
135.95,1.43364,4,630888
450,7.48647,5,630000
167,5.09024,4,630000
493,3.52113,1,630000
280,5.09024,,629900
189,4.33231,5,625000
75,1.43364,2,623888
245,2.63446,5,621000
600,9.71245,10,620000
310,9.71245,5,620000
220,5.78935,7,620000
220,5.09024,5,620000
220,4.33231,7,620000
220,4.33231,6,620000
200,0.156989,10,620000
210,0.0827487,4,620000
135.95,1.43364,3,611888
401,0.156989,,610000
73,1.43364,2,607888
73,1.43364,2,607887
74,1.43364,2,604888
162,1.43364,5,602888
162.06,1.43364,4,602888
163,1.43364,5,602888
221,22.1082,7,600000
498,9.71245,10,600000
300,7.20064,7,600000
498,5.53949,10,600000
360,5.09899,6,600000
316,5.09024,6,600000
280,4.78557,7,600000
130,3.91095,1,600000
380,3.72504,10,600000
215,2.55531,6,600000
205,2.53719,3,600000
329,2.3655,6,600000
202,0.424649,5,600000
163,0.424649,4,600000
74,1.43364,2,599888
189,5.09024,5,599000
400,4.06245,5,599000
171,2.14118,4,598500
329,7.20064,,598000
328,2.21972,6,598000
329,2.21972,6,598000
329,2.17025,10,598000
74,1.43364,2,595888
76,1.43364,1,593888
500,9.71245,9,590000
468,8.15602,5,590000
468,8.15602,,590000
775,8.15326,1,590000
1350,6.68038,10,590000
260,4.87223,10,590000
138,4.44047,5,590000
138,4.33231,4,590000
123,1.43364,4,590000
370,4.30986,7,588000
182,1.43364,5,586888
900,17.5813,10,580000
900,17.5813,13,580000
900,17.5813,,580000
880,17.5813,9,580000
900,17.5813,9,580000
900,15.8059,,580000
430,7.24623,5,580000
535,6.0833,5,580000
280,5.09024,5,580000
900,17.5813,12,579000
870,17.5813,5,579000
325,0.156989,5,575500
430,5.09899,10,575000
205,4.33231,8,575000
170,1.43364,5,572888
640,9.31894,10,570000
282,6.0833,10,570000
230,6.0833,4,570000
205,5.09024,6,570000
350,4.33231,6,570000
350,4.33231,7,570000
300,2.73471,8,570000
300,2.057,6,570000
300,2.73517,10,565000
205,2.14118,4,565000
184,1.06401,4,564580
700,2.85759,,560000
177,2.52048,5,560000
171,2.52048,5,560000
237,2.16739,6,560000
171,2.057,5,560000
140,1.15138,4,560000
183,1.43364,5,556888
102,2.9817,6,551780
535,7.35429,5,550000
285,6.02192,5,550000
285,6.02192,1,550000
550,5.23674,9,550000
600,5.09899,6,550000
285,5.09024,,550000
290,5.09024,5,550000
140,5.09024,5,550000
244,5.09024,5,550000
449,4.49736,10,550000
285,4.33231,5,550000
170,4.33231,5,550000
320,4.33231,7,550000
200,4.33231,5,550000
135,4.33231,4,550000
420,2.77823,5,550000
270,2.63446,4,550000
250,2.63446,5,550000
420,2.52048,5,550000
206,2.057,4,550000
157,2.16739,4,549500
400,9.31894,10,549000
570,6.2175,6,549000
570,5.09899,10,549000
185,1.06401,3,546360
155,1.89944,4,545000
200,0.364163,10,540000
145,1.43364,5,539000
151.84,1.43364,4,538888
152,1.43364,4,538888
152,2.14118,4,532000
900,17.5813,12,530000
146,5.09024,4,530000
82,4.78557,6,530000
242,0.308738,7,530000
242,0.308738,6,530000
320,6.28189,6,529000
184,1.06401,4,528150
182,2.057,4,527800
320,9.38009,6,525000
150,2.16739,4,525000
900,17.5813,,520000
326,6.0833,10,520000
348,6.03358,6,520000
178,3.56307,4,520000
