size,distance_from_center,price
165,3.70029,330000
201,4.06245,330000
392,6.93042,330000
250,6.34408,330000
164,6.93042,330000
440,7.32409,330000
475,9.38009,330000
366,8.62944,330000
400,6.93042,330000
300,4.57727,330000
285,5.92315,330000
120,4.33231,330000
127,2.057,330000
128,3.16964,330000
153,2.16739,330000
122,2.14118,330000
120,4.33231,330000
106,1.89028,330000
169,0.156989,330000
169,0.0246945,330000
169,1.63052,330000
184,5.09024,330000
121,2.85759,330000
93,0.373488,330000
150,1.89028,330000
118,3.16964,330000
153,3.16964,330000
153,2.057,330000
102,2.53719,330000
121,1.43364,330000
200,4.33231,330000
169,0.691768,330000
97,5.09024,330000
109,1.06401,330000
130,2.057,329900
120,0.424649,329000
109,1.5106,327270
120,1.24542,327000
136,5.14228,326976
111,1.43364,326888
220,4.30986,326400
220,4.30986,326000
163,6.23083,326000
380,5.37728,325000
125,3.16964,325000
123,0.156989,325000
112,9.71245,325000
144,5.74776,325000
147,9.71245,324346
130,3.16964,324000
129,2.057,324000
127,9.71245,323000
93.19,1.43364,322888
94,1.01797,321000
128,2.67382,320300
640,26.7801,320000
237,10.8221,320000
200,5.29504,320000
300,9.71245,320000
150,5.09899,320000
218,4.68701,320000
200,6.01333,320000
201,6.01333,320000
400,17.5813,320000
300,5.92315,320000
115,2.057,320000
173,2.057,320000
131,1.24542,320000
108,0.156989,320000
61,0.582555,320000
173,2.057,320000
115,2.057,320000
135,3.99971,320000
115,2.16739,320000
140,0.846868,320000
107,0.424649,320000
93,1.06401,320000
107,4.69648,320000
110,2.32942,320000
63,1.43364,320000
93,0.424649,320000
115,2.32942,320000
113,3.16964,320000
115,2.16739,320000
160,3.16964,320000
107,0.156989,320000
115,2.16739,320000
200,6.01333,320000
200,6.01333,319900
200,8.66102,319000
120,1.0579,319000
120,0.156989,319000
120,0.156989,319000
120,0.156989,319000
120,0.156989,319000
120,0.308738,319000
120,1.05038,319000
103,1.06401,319000
147,3.25484,319000
120,0.156989,319000
127,0.548847,319000
105,2.057,319000
132,5.09024,318980
128,2.67382,318725
106,0.82564,318000
106,1.06401,318000
131,5.09024,317335
105,3.47996,317000
110,0.825181,315888
400,5.50686,315000
240,6.14324,315000
415,7.6077,315000
90,1.63052,315000
100,4.55524,315000
102,4.33231,315000
124,7.20064,315000
170,1.32601,315000
86,1.43364,314888
170,1.16933,314500
415,5.91953,314000
130,5.14228,312144
167,6.72606,310000
250,7.20064,310000
630,5.79053,310000
185,0.424649,310000
336,9.09402,310000
328,5.91953,310000
230,5.09899,310000
170,5.6455,310000
245,7.80819,310000
700,9.09402,310000
455,15.5261,310000
328,5.99689,310000
112,9.71245,310000
193,3.90821,310000
152,3.56307,310000
105,5.39366,310000
167,7.12713,310000
152,3.56307,310000
105,0.0827487,310000
133,4.33231,310000
100,0.424649,310000
112,3.16964,310000
100,0.22051,310000
82,1.43364,310000
104,4.90635,310000
92,2.52048,310000
137,2.057,310000
184,1.06401,310000
103,0.559132,309000
136,9.71245,308750
122,7.20064,308660
129,5.09024,308000
140,6.77976,308000
90,1.43364,307888
85,1.43364,307888
88,7.20064,307000
220,4.49736,306000
107,1.56083,306000
138,9.71245,306000
250,4.86458,305000
265,5.74776,305000
97,0.424649,305000
234,5.37728,305000
180,1.96434,305000
134,4.78557,305000
87,1.43364,304888
87,1.43364,304888
132,3.20643,304600
132,4.33231,304600
132,3.04747,304574
132,4.44433,304574
132,3.20643,304574
132,3.70029,304574
174,5.09899,302400
110,0.424649,301510
101,1.43364,300888
399,6.95395,300000
200,9.59386,300000
230,5.09899,300000
379,6.77913,300000
